,feature,id,metric_accuracy_score,metric_auc,metric_confusion_matrix,metric_f1_score,metric_log_loss,metric_matthews_corrcoef,metric_precision_score,metric_recall_score,metric_roc_auc_score,metric_roc_curve,model,noise,params,path,time_to_build_and_train_model,time_to_build_feature,time_to_make_prediction
212,DecreasingFactor,e39ca380-6617-481c-9427-39274b8d39c8,0.9628543434208475,24165.5,"[[ 19515  10988] [  5693 412874]]",0.9801989247758565,1.282985091455828,0.6844881846082339,0.9740764682844888,0.9863988322060745,0.8130859846372798,"(array([0.        , 0.36022686, 1.        ]), array([0.        , 0.98639883, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.5},BPI_17.csv,0.0010521411895751953,0.5444858074188232,0.013895034790039062
213,DecreasingFactor,3ccf080c-510f-4753-bd12-4324207b4476,0.9628543434208475,24165.5,"[[ 19515  10988] [  5693 412874]]",0.9801989247758565,1.282985091455828,0.6844881846082339,0.9740764682844888,0.9863988322060745,0.8130859846372798,"(array([0.        , 0.36022686, 1.        ]), array([0.        , 0.98639883, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.55},BPI_17.csv,0.0009942054748535156,0.5886697769165039,0.014137983322143555
214,DecreasingFactor,1eda23fd-7588-42f9-9bf6-a0291503f636,0.9628543434208475,24165.5,"[[ 19515  10988] [  5693 412874]]",0.9801989247758565,1.282985091455828,0.6844881846082339,0.9740764682844888,0.9863988322060745,0.8130859846372798,"(array([0.        , 0.36022686, 1.        ]), array([0.        , 0.98639883, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.6},BPI_17.csv,0.0010411739349365234,0.5606400966644287,0.013822793960571289
215,DecreasingFactor,0d07bab8-ffca-46c5-8b46-eb04bffc812b,0.9628543434208475,24165.5,"[[ 19515  10988] [  5693 412874]]",0.9801989247758565,1.282985091455828,0.6844881846082339,0.9740764682844888,0.9863988322060745,0.8130859846372798,"(array([0.        , 0.36022686, 1.        ]), array([0.        , 0.98639883, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.65},BPI_17.csv,0.001068115234375,0.7565000057220459,0.01966094970703125
216,DecreasingFactor,98c23391-4802-4bb6-86f7-a3d8f653a6a8,0.9628543434208475,24165.5,"[[ 19515  10988] [  5693 412874]]",0.9801989247758565,1.282985091455828,0.6844881846082339,0.9740764682844888,0.9863988322060745,0.8130859846372798,"(array([0.        , 0.36022686, 1.        ]), array([0.        , 0.98639883, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.7},BPI_17.csv,0.0008962154388427734,0.7709932327270508,0.022057294845581055
217,DecreasingFactor,dd272e9e-07fe-4f42-baa7-0a9e120000fa,0.9038352823550848,51200.0,"[[ 23343  39301] [  1865 363569]]",0.9464196463899706,3.321485089286292,0.5517985502434395,0.9024474396207213,0.9948964792548038,0.6837629704875002,"(array([0.        , 0.62737054, 1.        ]), array([0.        , 0.99489648, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.4},BPI_17.csv,0.0024738311767578125,0.6755728721618652,0.03665804862976074
218,DecreasingFactor,c4f5a85e-ab8c-42ad-9b9f-374df952ec13,0.9606029742243236,22979.5,"[[ 18676  10333] [  6532 392537]]",0.978969722135973,1.3607443646728286,0.6698930191186601,0.9743515277881203,0.9836319032548256,0.813716051596388,"(array([0.       , 0.3561998, 1.       ]), array([0.       , 0.9836319, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.45},BPI_17.csv,0.0012772083282470703,0.5826208591461182,0.020757675170898438
219,DecreasingFactor,425614e2-162f-4f43-b5df-f8cae18d849b,0.9606029742243236,22979.5,"[[ 18676  10333] [  6532 392537]]",0.978969722135973,1.3607443646728286,0.6698930191186601,0.9743515277881203,0.9836319032548256,0.813716051596388,"(array([0.       , 0.3561998, 1.       ]), array([0.       , 0.9836319, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.5},BPI_17.csv,0.0010361671447753906,0.46738100051879883,0.013357877731323242
220,DecreasingFactor,582550e7-e061-4bcb-aff0-ed9957722f2b,0.9606029742243236,22979.5,"[[ 18676  10333] [  6532 392537]]",0.978969722135973,1.3607443646728286,0.6698930191186601,0.9743515277881203,0.9836319032548256,0.813716051596388,"(array([0.       , 0.3561998, 1.       ]), array([0.       , 0.9836319, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.55},BPI_17.csv,0.0009629726409912109,0.4663279056549072,0.013040304183959961
221,DecreasingFactor,5edfe9f2-1af0-4b64-9915-5c5ccbba92b5,0.9606029742243236,22979.5,"[[ 18676  10333] [  6532 392537]]",0.978969722135973,1.3607443646728286,0.6698930191186601,0.9743515277881203,0.9836319032548256,0.813716051596388,"(array([0.       , 0.3561998, 1.       ]), array([0.       , 0.9836319, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.6},BPI_17.csv,0.0010519027709960938,0.6809589862823486,0.013753890991210938
